"school_name","has_nces_key","has_geometry"
"ARBUTUS ELEMENTARY","TRUE","TRUE"
"BALTIMORE HIGHLANDS ELEMENTARY","TRUE","TRUE"
"BATTLE GROVE ELEMENTARY","TRUE","TRUE"
"BATTLE MONUMENT SCHOOL","TRUE","FALSE"
"BEAR CREEK ELEMENTARY","TRUE","TRUE"
"BEDFORD ELEMENTARY","TRUE","TRUE"
"BERKSHIRE ELEMENTARY","TRUE","TRUE"
"CAMPFIELD EARLY CHILDHOOD CENTER","TRUE","FALSE"
"CARNEY ELEMENTARY","TRUE","TRUE"
"CARROLL MANOR ELEMENTARY","TRUE","TRUE"
"CATONSVILLE ELEMENTARY","TRUE","TRUE"
"CEDARMERE ELEMENTARY","TRUE","TRUE"
"CHADWICK ELEMENTARY","TRUE","TRUE"
"CHAPEL HILL ELEMENTARY","TRUE","TRUE"
"CHARLESMONT ELEMENTARY","TRUE","TRUE"
"CHASE ELEMENTARY","TRUE","TRUE"
"CHATSWORTH SCHOOL","TRUE","FALSE"
"CHESAPEAKE TERRACE ELEMENTARY","TRUE","TRUE"
"CHURCH LANE ELEMENTARY","TRUE","TRUE"
"COLGATE ELEMENTARY","TRUE","TRUE"
"CROMWELL VALLEY ELEMENTARY REGIONAL MAGNET","TRUE","FALSE"
"DEEP CREEK ELEMENTARY","TRUE","TRUE"
"DEER PARK ELEMENTARY","TRUE","TRUE"
"DOGWOOD ELEMENTARY","FALSE","TRUE"
"DUNDALK ELEMENTARY","TRUE","TRUE"
"EASTWOOD CENTER","TRUE","FALSE"
"EDGEMERE ELEMENTARY","TRUE","TRUE"
"EDMONDSON HEIGHTS ELEMENTARY","TRUE","TRUE"
"ELMWOOD ELEMENTARY","TRUE","TRUE"
"ESSEX ELEMENTARY","TRUE","TRUE"
"FEATHERBED LANE ELEMENTARY","TRUE","TRUE"
"FEATHERBED LANE ELEMENTARY/INTERMEDIATE","TRUE","TRUE"
"FIFTH DISTRICT ELEMENTARY","TRUE","TRUE"
"FORT GARRISON ELEMENTARY","TRUE","TRUE"
"FRANKLIN ELEMENTARY","TRUE","TRUE"
"FULLERTON ELEMENTARY","TRUE","TRUE"
