"school_name","on_nces_key","has_geometry","nces_ids_same"
"ARBUTUS ELEMENTARY","TRUE","TRUE","TRUE"
"BALTIMORE HIGHLANDS ELEMENTARY","TRUE","TRUE","TRUE"
"BATTLE GROVE ELEMENTARY","TRUE","TRUE","TRUE"
"BEAR CREEK ELEMENTARY","TRUE","TRUE","TRUE"
"BEDFORD ELEMENTARY","TRUE","TRUE","TRUE"
"BERKSHIRE ELEMENTARY","TRUE","TRUE","TRUE"
"CAMPFIELD EARLY CHILDHOOD CENTER","TRUE","FALSE","No SHP ID"
"CARNEY ELEMENTARY","TRUE","TRUE","TRUE"
"CARROLL MANOR ELEMENTARY","TRUE","TRUE","TRUE"
"CATONSVILLE ELEMENTARY","TRUE","TRUE","TRUE"
"CEDARMERE ELEMENTARY","TRUE","TRUE","TRUE"
"CHADWICK ELEMENTARY","TRUE","TRUE","TRUE"
"CHAPEL HILL ELEMENTARY","TRUE","TRUE","TRUE"
"CHARLESMONT ELEMENTARY","TRUE","TRUE","TRUE"
"CHASE ELEMENTARY","TRUE","TRUE","TRUE"
"CHATSWORTH SCHOOL","TRUE","FALSE","No SHP ID"
"CHESAPEAKE TERRACE ELEMENTARY","TRUE","TRUE","TRUE"
"CHURCH LANE ELEMENTARY","TRUE","FALSE","No SHP ID"
"CHURCH LANE ELEMENTARY TECHNOLOGY","FALSE","TRUE","No NCES Key ID"
"COLGATE ELEMENTARY","TRUE","TRUE","TRUE"
"CROMWELL VALLEY ELEMENTARY REGIONAL MAGNET","TRUE","FALSE","No SHP ID"
"DEEP CREEK ELEMENTARY","TRUE","TRUE","TRUE"
"DEER PARK ELEMENTARY","TRUE","TRUE","TRUE"
"DOGWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"DUNDALK ELEMENTARY","TRUE","TRUE","TRUE"
"EASTWOOD CENTER","TRUE","FALSE","No SHP ID"
"EDGEMERE ELEMENTARY","TRUE","TRUE","TRUE"
"EDMONDSON HEIGHTS ELEMENTARY","TRUE","TRUE","TRUE"
"ELMWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"ESSEX ELEMENTARY","TRUE","TRUE","TRUE"
"FEATHERBED LANE ELEMENTARY","TRUE","TRUE","TRUE"
"FIFTH DISTRICT ELEMENTARY","TRUE","TRUE","TRUE"
"FORT GARRISON ELEMENTARY","TRUE","TRUE","TRUE"
"FRANKLIN ELEMENTARY","TRUE","TRUE","TRUE"
"FULLERTON ELEMENTARY","TRUE","TRUE","TRUE"
"GLENMAR ELEMENTARY","TRUE","TRUE","TRUE"
"GLYNDON ELEMENTARY","TRUE","TRUE","TRUE"
"GRANGE ELEMENTARY","TRUE","TRUE","TRUE"
"GUNPOWDER ELEMENTARY","TRUE","TRUE","TRUE"
"HALETHORPE ELEMENTARY","TRUE","TRUE","TRUE"
"HALSTEAD ACADEMY","TRUE","TRUE","TRUE"
"HAMPTON ELEMENTARY","TRUE","TRUE","TRUE"
"HARFORD HILLS ELEMENTARY","TRUE","TRUE","TRUE"
"HAWTHORNE ELEMENTARY","TRUE","TRUE","TRUE"
"HEBBVILLE ELEMENTARY","TRUE","TRUE","TRUE"
"HERNWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"HILLCREST ELEMENTARY","TRUE","TRUE","TRUE"
"JACKSONVILLE ELEMENTARY","TRUE","TRUE","TRUE"
"JOHNNYCAKE ELEMENTARY","TRUE","TRUE","TRUE"
"JOPPA VIEW ELEMENTARY","TRUE","TRUE","TRUE"
"KINGSVILLE ELEMENTARY","TRUE","TRUE","TRUE"
"LANSDOWNE ELEMENTARY","TRUE","TRUE","TRUE"
"LOGAN ELEMENTARY","TRUE","TRUE","TRUE"
"LUTHERVILLE LABORATORY","TRUE","TRUE","TRUE"
"MARS ESTATES ELEMENTARY","TRUE","TRUE","TRUE"
"MARTIN BOULEVARD ELEMENTARY","TRUE","TRUE","TRUE"
"MCCORMICK ELEMENTARY","TRUE","TRUE","TRUE"
"MIDDLEBOROUGH ELEMENTARY","TRUE","TRUE","TRUE"
"MIDDLESEX ELEMENTARY","TRUE","TRUE","TRUE"
"MILBROOK ELEMENTARY","TRUE","TRUE","TRUE"
"NEW TOWN ELEMENTARY","TRUE","TRUE","TRUE"
"NORWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"OAKLEIGH ELEMENTARY","TRUE","TRUE","TRUE"
"OLIVER BEACH ELEMENTARY","TRUE","TRUE","TRUE"
"OREMS ELEMENTARY","TRUE","TRUE","TRUE"
"OWINGS MILLS ELEMENTARY","TRUE","TRUE","TRUE"
"PADONIA INTERNATIONAL ELEMENTARY","TRUE","TRUE","TRUE"
"PERRY HALL ELEMENTARY","TRUE","TRUE","TRUE"
"PINE GROVE ELEMENTARY","TRUE","TRUE","TRUE"
"PINEWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"PLEASANT PLAINS ELEMENTARY","TRUE","TRUE","TRUE"
"POT SPRING ELEMENTARY","TRUE","TRUE","TRUE"
"POWHATAN ELEMENTARY","TRUE","TRUE","TRUE"
"PRETTYBOY ELEMENTARY","TRUE","TRUE","TRUE"
"RANDALLSTOWN ELEMENTARY","TRUE","TRUE","TRUE"
"RED HOUSE RUN ELEMENTARY","TRUE","TRUE","TRUE"
"REISTERSTOWN ELEMENTARY","TRUE","TRUE","TRUE"
"RELAY ELEMENTARY","TRUE","TRUE","TRUE"
"RIDERWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"RIVERVIEW ELEMENTARY","TRUE","TRUE","TRUE"
"RODGERS FORGE ELEMENTARY","TRUE","TRUE","TRUE"
"SANDALWOOD ELEMENTARY","TRUE","TRUE","TRUE"
"SANDY PLAINS ELEMENTARY","TRUE","TRUE","TRUE"
"SCHOLARS K-8","TRUE","FALSE","No SHP ID"
"SCOTTS BRANCH ELEMENTARY","TRUE","TRUE","TRUE"
"SENECA ELEMENTARY","TRUE","TRUE","TRUE"
"SEVEN OAKS ELEMENTARY","TRUE","TRUE","TRUE"
"SEVENTH DISTRICT ELEMENTARY","TRUE","TRUE","TRUE"
"SHADY SPRING ELEMENTARY","TRUE","TRUE","TRUE"
"SPARKS ELEMENTARY","TRUE","TRUE","TRUE"
"STONELEIGH ELEMENTARY","TRUE","TRUE","TRUE"
"SUMMIT PARK ELEMENTARY","TRUE","TRUE","TRUE"
"SUSSEX ELEMENTARY","TRUE","TRUE","TRUE"
"TIMBER GROVE ELEMENTARY","TRUE","TRUE","TRUE"
"TIMONIUM ELEMENTARY","TRUE","TRUE","TRUE"
"VICTORY VILLA ELEMENTARY","TRUE","TRUE","TRUE"
"VILLA CRESTA ELEMENTARY","TRUE","TRUE","TRUE"
"VINCENT FARM ELEMENTARY","TRUE","TRUE","TRUE"
"WARREN ELEMENTARY","TRUE","TRUE","TRUE"
"WELLWOOD INTERNATIONAL ELEMENTARY","FALSE","TRUE","No NCES Key ID"
"WELLWOOD INTERNATIONAL SCHOOL","TRUE","FALSE","No SHP ID"
"WESTCHESTER ELEMENTARY","TRUE","TRUE","TRUE"
"WESTOWNE ELEMENTARY","TRUE","TRUE","TRUE"
"WHITE OAK SCHOOL","TRUE","FALSE","No SHP ID"
"WINAND ELEMENTARY","TRUE","TRUE","TRUE"
"WINFIELD ELEMENTARY","TRUE","TRUE","TRUE"
"WOODBRIDGE ELEMENTARY","TRUE","TRUE","TRUE"
"WOODHOLME ELEMENTARY","TRUE","TRUE","TRUE"
"WOODMOOR ELEMENTARY","TRUE","TRUE","TRUE"
