"school_name","has_nces_key","has_geometry"
"CATONSVILLE CENTER FOR ALTERNATIVE STUDIES","TRUE","FALSE"
"CATONSVILLE HIGH","TRUE","TRUE"
"CHESAPEAKE HIGH","TRUE","TRUE"
"DULANEY HIGH","TRUE","TRUE"
"DUNDALK HIGH","TRUE","TRUE"
"EASTERN TECHNICAL HIGH SCHOOL","TRUE","FALSE"
"EXTENDED DAY LEARNING PROGRAM","TRUE","FALSE"
"FRANKLIN HIGH","TRUE","TRUE"
"GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY","TRUE","FALSE"
"HEREFORD HIGH","TRUE","TRUE"
"KENWOOD HIGH","TRUE","TRUE"
"LANSDOWNE HIGH","TRUE","TRUE"
"LOCH RAVEN HIGH","TRUE","TRUE"
"MILFORD MILL ACADEMY","TRUE","TRUE"
"OVERLEA HIGH","TRUE","TRUE"
"OWINGS MILLS HIGH","TRUE","TRUE"
"PARKVILLE HIGH","TRUE","TRUE"
"PATAPSCO HIGH AND CENTER FOR ARTS","TRUE","TRUE"
"PERRY HALL HIGH","TRUE","TRUE"
"PIKESVILLE HIGH","TRUE","TRUE"
"RANDALLSTOWN HIGH","TRUE","TRUE"
"SPARROWS POINT HIGH","TRUE","TRUE"
"TOWSON HIGH","TRUE","TRUE"
"WESTERN SCHOOL OF TECHNOLOGY","TRUE","FALSE"
"WOODLAWN HIGH","TRUE","TRUE"
