"school_name","on_nces_key","has_geometry","nces_ids_same"
"ARBUTUS MIDDLE","TRUE","TRUE","TRUE"
"BRIDGE CENTER","TRUE","FALSE","No SHP ID"
"CATONSVILLE MIDDLE","TRUE","TRUE","TRUE"
"COCKEYSVILLE MIDDLE","TRUE","TRUE","TRUE"
"DEEP CREEK MIDDLE","TRUE","TRUE","TRUE"
"DEER PARK MIDDLE MAGNET SCHOOL","TRUE","TRUE","TRUE"
"DUMBARTON MIDDLE","TRUE","TRUE","TRUE"
"DUNDALK MIDDLE","TRUE","TRUE","TRUE"
"FRANKLIN MIDDLE","TRUE","TRUE","TRUE"
"GENERAL JOHN STRICKER MIDDLE","TRUE","TRUE","TRUE"
"GOLDEN RING MIDDLE","TRUE","TRUE","TRUE"
"HEREFORD MIDDLE","TRUE","TRUE","TRUE"
"HOLABIRD MIDDLE","TRUE","TRUE","TRUE"
"LANSDOWNE MIDDLE","TRUE","TRUE","TRUE"
"LOCH RAVEN TECHNICAL ACADEMY","TRUE","TRUE","TRUE"
"MEADOWOOD EDUCATION CENTER","TRUE","FALSE","No SHP ID"
"MIDDLE RIVER MIDDLE","TRUE","TRUE","TRUE"
"NORTHWEST ACADEMY OF HEALTH SCIENCES","TRUE","FALSE","No SHP ID"
"OLD COURT MIDDLE","FALSE","TRUE","No NCES Key ID"
"PARKVILLE MIDDLE","TRUE","FALSE","No SHP ID"
"PARKVILLE MIDDLE & CENTER OF TECHNOLOGY","FALSE","TRUE","No NCES Key ID"
"PERRY HALL MIDDLE","TRUE","TRUE","TRUE"
"PIKESVILLE MIDDLE","TRUE","TRUE","TRUE"
"PINE GROVE MIDDLE","TRUE","TRUE","TRUE"
"RIDGELY MIDDLE","TRUE","TRUE","TRUE"
"SOUTHWEST ACADEMY","TRUE","TRUE","TRUE"
"SPARROWS POINT MIDDLE","TRUE","TRUE","TRUE"
"STEMMERS RUN MIDDLE","TRUE","TRUE","TRUE"
"SUDBROOK MAGNET MIDDLE","TRUE","FALSE","No SHP ID"
"WINDSOR MILL MIDDLE","TRUE","TRUE","TRUE"
"WOODLAWN MIDDLE","TRUE","TRUE","TRUE"
