School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2009-10,Agency ID - NCES Assigned [Public School] Latest available year,School Level [Public School] 2009-10,Lowest Grade Offered [Public School] 2009-10,Highest Grade Offered [Public School] 2009-10
ARBUTUS ELEMENTARY,Maryland,240012000341,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
BALTIMORE HIGHLANDS ELEMENTARY,Maryland,240012000344,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
BATTLE GROVE ELEMENTARY,Maryland,240012000345,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
BEAR CREEK ELEMENTARY,Maryland,240012000347,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
BEDFORD ELEMENTARY,Maryland,240012000348,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,1st Grade,5th Grade
BERKSHIRE ELEMENTARY,Maryland,240012000349,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CAMPFIELD EARLY CHILDHOOD CENTER,Maryland,240012000012,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,Kindergarten
CARNEY ELEMENTARY,Maryland,240012000351,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CARROLL MANOR ELEMENTARY,Maryland,240012000352,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Kindergarten,5th Grade
CATONSVILLE ELEMENTARY,Maryland,240012000353,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CEDARMERE ELEMENTARY,Maryland,240012000356,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CHADWICK ELEMENTARY,Maryland,240012000357,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CHAPEL HILL ELEMENTARY,Maryland,240012000358,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Kindergarten,5th Grade
CHARLESMONT ELEMENTARY,Maryland,240012000359,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CHASE ELEMENTARY,Maryland,240012000360,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CHATSWORTH SCHOOL,Maryland,240012000361,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Kindergarten,5th Grade
CHESAPEAKE TERRACE ELEMENTARY,Maryland,240012000363,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
CHURCH LANE ELEMENTARY,Maryland,240012000364,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
COLGATE ELEMENTARY,Maryland,240012000367,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Kindergarten,5th Grade
CROMWELL VALLEY ELEMENTARY REGIONAL MAGNET,Maryland,240012000463,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Kindergarten,5th Grade
DEEP CREEK ELEMENTARY,Maryland,240012000369,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,1st Grade,5th Grade
DEER PARK ELEMENTARY,Maryland,240012000371,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
DOGWOOD ELEMENTARY,Maryland,240012002945,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,1st Grade,5th Grade
DUNDALK ELEMENTARY,Maryland,240012000375,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
EASTWOOD CENTER,Maryland,240012000365,BALTIMORE COUNTY PUBLIC SCHOOLS,2400120,1-Primary,Prekindergarten,5th Grade
