School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2019-20,Agency ID - NCES Assigned [Public School] Latest available year,School Level (SY 2017-18 onward) [Public School] 2019-20,Lowest Grade Offered [Public School] 2019-20,Highest Grade Offered [Public School] 2019-20
ARBUTUS ELEMENTARY,Maryland,240012000341,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
BALTIMORE HIGHLANDS ELEMENTARY,Maryland,240012000344,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
BATTLE GROVE ELEMENTARY,Maryland,240012000345,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
BEAR CREEK ELEMENTARY,Maryland,240012000347,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
BEDFORD ELEMENTARY,Maryland,240012000348,Baltimore County Public Schools,2400120,Elementary,1st Grade,5th Grade
BERKSHIRE ELEMENTARY,Maryland,240012000349,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CAMPFIELD EARLY CHILDHOOD CENTER,Maryland,240012000012,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,Kindergarten
CARNEY ELEMENTARY,Maryland,240012000351,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CARROLL MANOR ELEMENTARY,Maryland,240012000352,Baltimore County Public Schools,2400120,Elementary,Kindergarten,5th Grade
CATONSVILLE ELEMENTARY,Maryland,240012000353,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CEDARMERE ELEMENTARY,Maryland,240012000356,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CHADWICK ELEMENTARY,Maryland,240012000357,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CHAPEL HILL ELEMENTARY,Maryland,240012000358,Baltimore County Public Schools,2400120,Elementary,Kindergarten,5th Grade
CHARLESMONT ELEMENTARY,Maryland,240012000359,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
CHASE ELEMENTARY,Maryland,240012000360,Baltimore County Public Schools,2400120,Elementary,Prekindergarten,5th Grade
